,season,id,match_between,home_team,away_team,toss_won,decision,1st_inning_score,2nd_inning_score,home_score,away_score,winner,result,venue,home_captain,away_captain,player_of_the_match,super_over,home_overs,home_runs,home_wickets,home_boundaries,away_overs,away_runs,away_wickets,away_boundaries,home_key_batsman,home_key_bowler,away_key_batsman,away_key_bowler,part_of_the_day
739,2011,501231,RR v MI,RR,MI,RR,BOWL FIRST,94/8,95/3,95/3,94/8,RR,Royals won by 7 wickets (with 11 balls remaining),"Sawai Mansingh Stadium, Jaipur",Shane Warne,Sachin Tendulkar,Johan Botha,False,18.1,95.0,3.0,9.0,20.0,94.0,8.0,6.0,"Johan Botha,Shane Watson","Johan Botha,Amit Singh","Andrew Symonds,Davy Jacobs","Munaf Patel,Lasith Malinga",day/night
740,2011,501232,RCB v PWI,RCB,PWI,PWI,BOWL FIRST,181/5,155/5,181/5,155/5,RCB,RCB won by 26 runs,"M.Chinnaswamy Stadium, Bengaluru",Daniel Vettori,Yuvraj Singh,Virat Kohli,False,20.0,181.0,5.0,23.0,20.0,155.0,5.0,17.0,"Virat Kohli,Chris Gayle","Chris Gayle,Daniel Vettori","Jesse Ryder,Yuvraj Singh","Alfonso Thomas,Rahul Sharma",night
741,2011,501233,Kochi v DC,Kochi,DC,DC,BAT FIRST,157/7,119/10,119/10,157/7,DC,Daredevils won by 38 runs,"Nehru Stadium, Kochi",Mahela Jayawardene,Virender Sehwag,Virender Sehwag,False,18.5,119.0,10.0,12.0,20.0,157.0,7.0,19.0,"Ravindra Jadeja,Brad Hodge","Sreesanth,Ramesh Powar","Virender Sehwag,Yogesh Nagar","Morne Morkel,Roelof van der Merwe",day/night
742,2011,501234,KKR v PBKS,KKR,PBKS,KKR,BOWL FIRST,119/6,120/2,120/2,119/6,KKR,KKR won by 8 wickets (with 16 balls remaining),"Eden Gardens, Kolkata",Gautam Gambhir,Adam Gilchrist,Iqbal Abdulla,False,17.2,120.0,2.0,14.0,20.0,119.0,6.0,12.0,"Gautam Gambhir,Manoj Tiwary","Iqbal Abdulla,Yusuf Pathan","Dinesh Karthik,Adam Gilchrist","Bhargav Bhatt,Bipul Sharma",night
743,2011,501235,RR v PWI,RR,PWI,RR,BOWL FIRST,143/7,144/4,144/4,143/7,RR,Royals won by 6 wickets (with 3 balls remaining),"Sawai Mansingh Stadium, Jaipur",Shane Warne,Yuvraj Singh,Ross Taylor,False,19.3,144.0,4.0,15.0,20.0,143.0,7.0,17.0,"Ross Taylor,Ashok Menaria","Siddharth Trivedi,Shane Watson","Robin Uthappa,Manish Pandey","Rahul Sharma,Alfonso Thomas",day/night
744,2011,501236,CSK v DC,CSK,SRH,CSK,BAT FIRST,165/5,146/8,165/5,146/8,CSK,Super Kings won by 19 runs,"MA Chidambaram Stadium, Chepauk, Chennai",MS Dhoni,Kumar Sangakkara,Albie Morkel,False,20.0,165.0,5.0,19.0,20.0,146.0,8.0,15.0,"Suresh Raina,Michael Hussey","Albie Morkel,Shadab Jakati","Sunny Sohal,Shikhar Dhawan","Pragyan Ojha,Harmeet Singh",night
745,2011,501237,MI v PBKS,MI,PBKS,PBKS,BOWL FIRST,159/5,136/8,159/5,136/8,MI,Mum Indians won by 23 runs,"Wankhede Stadium, Mumbai",Sachin Tendulkar,Adam Gilchrist,Kieron Pollard,False,20.0,159.0,5.0,21.0,20.0,136.0,8.0,14.0,"Ambati Rayudu,Sachin Tendulkar","Munaf Patel,Lasith Malinga","Shaun Marsh,Paul Valthaty","Ryan Harris,Piyush Chawla",day/night
746,2011,501238,DC v Kochi,DC,Kochi,Kochi,BOWL FIRST,140/6,141/3,140/6,141/3,Kochi,Kochi won by 7 wickets (with 30 balls remaining),"Arun Jaitley Stadium, Delhi",Virender Sehwag,Mahela Jayawardene,Prasanth Parameswaran,False,20.0,140.0,6.0,18.0,15.0,141.0,3.0,20.0,"Venugopal Rao,Travis Birt","Roelof van der Merwe,Morne Morkel","Brendon McCullum,Parthiv Patel","Vinay Kumar,Prasanth Parameswaran",night
747,2011,501239,DC v KKR,SRH,KKR,SRH,BOWL FIRST,169/4,149/6,149/6,169/4,KKR,KKR won by 20 runs,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kumar Sangakkara,Gautam Gambhir,Yusuf Pathan,False,20.0,149.0,6.0,14.0,20.0,169.0,4.0,19.0,"Shikhar Dhawan,Dwaraka Ravi Teja","Amit Mishra,Dale Steyn","Yusuf Pathan,Gautam Gambhir","Rajat Bhatia,Iqbal Abdulla",night
748,2011,501240,CSK v RR,CSK,RR,RR,BAT FIRST,147/6,149/2,149/2,147/6,CSK,Super Kings won by 8 wickets (with 8 balls remaining),"MA Chidambaram Stadium, Chepauk, Chennai",MS Dhoni,Shane Warne,Michael Hussey,False,18.4,149.0,2.0,14.0,20.0,147.0,6.0,18.0,"Michael Hussey,Suresh Raina","Shadab Jakati,Albie Morkel","Rahul Dravid,Shane Watson","Johan Botha,Siddharth Trivedi",day/night
